dataset,variant,S,G,attack_id,start,end,affected_tags,in_scope_variables,category,firing_variables,detected,global_start,global_end
test_dataset_attacks_8_14,sensors_only_all,1.39,5.0,14,1939,1968,L_T4,L_T4,direct_detected,P_J415,True,6116,6145
dataset04_attacks_1_7,sensors_only_geco_matched,1.39,2.16,1,1726,1775,L_T7,L_T7,direct_detected,"L_T7,F_PU11,P_J302,P_J307,P_J317",True,1726,1775
dataset04_attacks_1_7,sensors_only_geco_matched,1.39,2.16,2,2026,2049,L_T7,L_T7,direct_detected,"L_T6,F_PU10,P_J302,P_J307,P_J317",True,2026,2049
dataset04_attacks_1_7,sensors_only_geco_matched,1.39,2.16,3,2336,2395,L_T1,L_T1,direct_detected,"L_T1,F_PU1,F_PU2,F_PU8,P_J269,P_J302,P_J306,P_J307,P_J14",True,2336,2395
dataset04_attacks_1_7,sensors_only_geco_matched,1.39,2.16,4,2826,2919,L_T1,L_T1,direct_detected,"L_T1,F_PU8,P_J302,P_J306,P_J307,P_J14",True,2826,2919
dataset04_attacks_1_7,sensors_only_geco_matched,1.39,2.16,5,3496,3555,F_PU7,F_PU7,direct_detected,F_PU6,True,3496,3555
dataset04_attacks_1_7,sensors_only_geco_matched,1.39,2.16,6,3726,3819,F_PU7,F_PU7,direct_detected,"L_T4,F_PU6,F_PU7",True,3726,3819
dataset04_attacks_1_7,sensors_only_geco_matched,1.39,2.16,7,3926,4035,F_PU7,F_PU7,detection_failure,,False,3926,4035
test_dataset_attacks_8_14,sensors_only_geco_matched,1.39,2.16,8,296,365,L_T3,L_T3,direct_detected,P_J256,True,4473,4542
test_dataset_attacks_8_14,sensors_only_geco_matched,1.39,2.16,9,631,695,L_T2,L_T2,direct_detected,"F_V2,P_J300,P_J289,P_J422",True,4808,4872
test_dataset_attacks_8_14,sensors_only_geco_matched,1.39,2.16,10,866,896,F_PU3,F_PU3,direct_detected,"F_PU3,F_PU9",True,5043,5073
test_dataset_attacks_8_14,sensors_only_geco_matched,1.39,2.16,11,936,966,F_PU3,F_PU3,direct_detected,"L_T1,F_PU1,F_PU3,F_PU9",True,5113,5143
test_dataset_attacks_8_14,sensors_only_geco_matched,1.39,2.16,12,1228,1327,F_PU3,F_PU3,direct_detected,"L_T2,P_J300,P_J289",True,5405,5504
test_dataset_attacks_8_14,sensors_only_geco_matched,1.39,2.16,13,1573,1652,L_T7,L_T7,direct_detected,P_J302,True,5750,5829
test_dataset_attacks_8_14,sensors_only_geco_matched,1.39,2.16,14,1939,1968,L_T4,L_T4,direct_detected,P_J415,True,6116,6145
dataset04_attacks_1_7,sensors_only_geco_matched,1.39,5.0,1,1726,1775,L_T7,L_T7,direct_detected,"L_T7,F_PU11,P_J302,P_J307,P_J317",True,1726,1775
dataset04_attacks_1_7,sensors_only_geco_matched,1.39,5.0,2,2026,2049,L_T7,L_T7,direct_detected,"L_T6,F_PU10,P_J302,P_J307,P_J317",True,2026,2049
dataset04_attacks_1_7,sensors_only_geco_matched,1.39,5.0,3,2336,2395,L_T1,L_T1,direct_detected,"L_T1,F_PU1,F_PU2,F_PU8,P_J269,P_J302,P_J306,P_J307,P_J14",True,2336,2395
dataset04_attacks_1_7,sensors_only_geco_matched,1.39,5.0,4,2826,2919,L_T1,L_T1,direct_detected,"L_T1,F_PU8,P_J302,P_J306,P_J307,P_J14",True,2826,2919
dataset04_attacks_1_7,sensors_only_geco_matched,1.39,5.0,5,3496,3555,F_PU7,F_PU7,direct_detected,F_PU6,True,3496,3555
dataset04_attacks_1_7,sensors_only_geco_matched,1.39,5.0,6,3726,3819,F_PU7,F_PU7,direct_detected,"L_T4,F_PU6,F_PU7",True,3726,3819
dataset04_attacks_1_7,sensors_only_geco_matched,1.39,5.0,7,3926,4035,F_PU7,F_PU7,detection_failure,,False,3926,4035
test_dataset_attacks_8_14,sensors_only_geco_matched,1.39,5.0,8,296,365,L_T3,L_T3,direct_detected,P_J256,True,4473,4542
test_dataset_attacks_8_14,sensors_only_geco_matched,1.39,5.0,9,631,695,L_T2,L_T2,direct_detected,"F_V2,P_J300,P_J289,P_J422",True,4808,4872
test_dataset_attacks_8_14,sensors_only_geco_matched,1.39,5.0,10,866,896,F_PU3,F_PU3,direct_detected,"F_PU3,F_PU9",True,5043,5073
test_dataset_attacks_8_14,sensors_only_geco_matched,1.39,5.0,11,936,966,F_PU3,F_PU3,direct_detected,"L_T1,F_PU1,F_PU3,F_PU9",True,5113,5143
test_dataset_attacks_8_14,sensors_only_geco_matched,1.39,5.0,12,1228,1327,F_PU3,F_PU3,direct_detected,"L_T2,P_J300,P_J289",True,5405,5504
test_dataset_attacks_8_14,sensors_only_geco_matched,1.39,5.0,13,1573,1652,L_T7,L_T7,direct_detected,P_J302,True,5750,5829
test_dataset_attacks_8_14,sensors_only_geco_matched,1.39,5.0,14,1939,1968,L_T4,L_T4,direct_detected,P_J415,True,6116,6145
dataset04_attacks_1_7,geco_matched_plus_actuator_persistence,1.39,2.16,1,1726,1775,L_T7,L_T7,direct_detected,"L_T7,F_PU11,P_J302,P_J307,P_J317,S_PU10,S_PU11",True,1726,1775
dataset04_attacks_1_7,geco_matched_plus_actuator_persistence,1.39,2.16,2,2026,2049,L_T7,L_T7,direct_detected,"L_T6,F_PU10,P_J302,P_J307,P_J317",True,2026,2049
dataset04_attacks_1_7,geco_matched_plus_actuator_persistence,1.39,2.16,3,2336,2395,L_T1,L_T1,direct_detected,"L_T1,F_PU1,F_PU2,F_PU8,P_J269,P_J302,P_J306,P_J307,P_J14,S_PU2",True,2336,2395
dataset04_attacks_1_7,geco_matched_plus_actuator_persistence,1.39,2.16,4,2826,2919,L_T1,L_T1,direct_detected,"L_T1,F_PU8,P_J302,P_J306,P_J307,P_J14",True,2826,2919
dataset04_attacks_1_7,geco_matched_plus_actuator_persistence,1.39,2.16,5,3496,3555,F_PU7,F_PU7,direct_detected,"F_PU6,S_PU6",True,3496,3555
dataset04_attacks_1_7,geco_matched_plus_actuator_persistence,1.39,2.16,6,3726,3819,F_PU7,F_PU7,direct_detected,"L_T4,F_PU6,F_PU7,S_PU6",True,3726,3819
dataset04_attacks_1_7,geco_matched_plus_actuator_persistence,1.39,2.16,7,3926,4035,F_PU7,F_PU7,detection_failure,,False,3926,4035
test_dataset_attacks_8_14,geco_matched_plus_actuator_persistence,1.39,2.16,8,296,365,L_T3,L_T3,direct_detected,P_J256,True,4473,4542
test_dataset_attacks_8_14,geco_matched_plus_actuator_persistence,1.39,2.16,9,631,695,L_T2,L_T2,direct_detected,"F_V2,P_J300,P_J289,P_J422",True,4808,4872
test_dataset_attacks_8_14,geco_matched_plus_actuator_persistence,1.39,2.16,10,866,896,F_PU3,F_PU3,direct_detected,"F_PU3,F_PU9,S_PU3",True,5043,5073
test_dataset_attacks_8_14,geco_matched_plus_actuator_persistence,1.39,2.16,11,936,966,F_PU3,F_PU3,direct_detected,"L_T1,F_PU1,F_PU3,F_PU9,S_PU1,S_PU3",True,5113,5143
test_dataset_attacks_8_14,geco_matched_plus_actuator_persistence,1.39,2.16,12,1228,1327,F_PU3,F_PU3,direct_detected,"L_T2,P_J300,P_J289",True,5405,5504
test_dataset_attacks_8_14,geco_matched_plus_actuator_persistence,1.39,2.16,13,1573,1652,L_T7,L_T7,direct_detected,P_J302,True,5750,5829
test_dataset_attacks_8_14,geco_matched_plus_actuator_persistence,1.39,2.16,14,1939,1968,L_T4,L_T4,direct_detected,P_J415,True,6116,6145
dataset04_attacks_1_7,geco_matched_plus_actuator_persistence,1.39,5.0,1,1726,1775,L_T7,L_T7,direct_detected,"L_T7,F_PU11,P_J302,P_J307,P_J317,S_PU10,S_PU11",True,1726,1775
dataset04_attacks_1_7,geco_matched_plus_actuator_persistence,1.39,5.0,2,2026,2049,L_T7,L_T7,direct_detected,"L_T6,F_PU10,P_J302,P_J307,P_J317",True,2026,2049
dataset04_attacks_1_7,geco_matched_plus_actuator_persistence,1.39,5.0,3,2336,2395,L_T1,L_T1,direct_detected,"L_T1,F_PU1,F_PU2,F_PU8,P_J269,P_J302,P_J306,P_J307,P_J14,S_PU2",True,2336,2395
dataset04_attacks_1_7,geco_matched_plus_actuator_persistence,1.39,5.0,4,2826,2919,L_T1,L_T1,direct_detected,"L_T1,F_PU8,P_J302,P_J306,P_J307,P_J14",True,2826,2919
dataset04_attacks_1_7,geco_matched_plus_actuator_persistence,1.39,5.0,5,3496,3555,F_PU7,F_PU7,direct_detected,"F_PU6,S_PU6",True,3496,3555
dataset04_attacks_1_7,geco_matched_plus_actuator_persistence,1.39,5.0,6,3726,3819,F_PU7,F_PU7,direct_detected,"L_T4,F_PU6,F_PU7,S_PU6",True,3726,3819
dataset04_attacks_1_7,geco_matched_plus_actuator_persistence,1.39,5.0,7,3926,4035,F_PU7,F_PU7,detection_failure,,False,3926,4035
test_dataset_attacks_8_14,geco_matched_plus_actuator_persistence,1.39,5.0,8,296,365,L_T3,L_T3,direct_detected,P_J256,True,4473,4542
test_dataset_attacks_8_14,geco_matched_plus_actuator_persistence,1.39,5.0,9,631,695,L_T2,L_T2,direct_detected,"F_V2,P_J300,P_J289,P_J422",True,4808,4872
test_dataset_attacks_8_14,geco_matched_plus_actuator_persistence,1.39,5.0,10,866,896,F_PU3,F_PU3,direct_detected,"F_PU3,F_PU9,S_PU3",True,5043,5073
test_dataset_attacks_8_14,geco_matched_plus_actuator_persistence,1.39,5.0,11,936,966,F_PU3,F_PU3,direct_detected,"L_T1,F_PU1,F_PU3,F_PU9,S_PU1,S_PU3",True,5113,5143
test_dataset_attacks_8_14,geco_matched_plus_actuator_persistence,1.39,5.0,12,1228,1327,F_PU3,F_PU3,direct_detected,"L_T2,P_J300,P_J289",True,5405,5504
test_dataset_attacks_8_14,geco_matched_plus_actuator_persistence,1.39,5.0,13,1573,1652,L_T7,L_T7,direct_detected,P_J302,True,5750,5829
test_dataset_attacks_8_14,geco_matched_plus_actuator_persistence,1.39,5.0,14,1939,1968,L_T4,L_T4,direct_detected,P_J415,True,6116,6145
