dataset,variable,n_unique,is_constant,is_binary
HAI_R13,P1_LCV01D,509362,False,False
HAI_R13,P1_LCV01Z,3202,False,False
HAI_R13,P1_LIT01,6145,False,False
HAI_R13,P1_PCV01D,780359,False,False
HAI_R13,P1_PCV01Z,77535,False,False
HAI_R13,P1_PCV02D,1,True,False
HAI_R13,P1_PCV02Z,98,False,False
HAI_R13,P1_PIT01,2928,False,False
HAI_R13,P1_PIT02,5150,False,False
HAI_R13,P1_PP01AD,1,True,False
HAI_R13,P1_PP01AR,1,True,False
HAI_R13,P1_PP01BD,1,True,True
HAI_R13,P1_PP01BR,1,True,True
HAI_R13,P1_PP02D,1,True,True
HAI_R13,P1_PP02R,1,True,True
HAI_R13,P1_STSP,1,True,True
HAI_R13,P1_TIT01,904,False,False
HAI_R13,P1_TIT02,1677,False,False
HAI_R13,P2_24Vdc,509,False,False
HAI_R13,P2_ASD,1,True,True
HAI_R13,P2_AutoGO,1,True,True
HAI_R13,P2_CO_rpm,353,False,False
HAI_R13,P2_Emerg,1,True,True
HAI_R13,P2_HILout,7997,False,False
HAI_R13,P2_MSD,1,True,False
HAI_R13,P2_ManualGO,1,True,True
HAI_R13,P2_OnOff,1,True,True
HAI_R13,P2_RTR,1,True,False
HAI_R13,P2_SIT01,134,False,False
HAI_R13,P2_SIT02,48524,False,False
HAI_R13,P2_TripEx,1,True,True
HAI_R13,P2_VT01,28782,False,False
HAI_R13,P2_VTR01,1,True,False
HAI_R13,P2_VTR02,1,True,False
HAI_R13,P2_VTR03,1,True,False
HAI_R13,P2_VTR04,1,True,False
HAI_R13,P2_VXT02,23042,False,False
HAI_R13,P2_VXT03,20231,False,False
HAI_R13,P2_VYT02,25483,False,False
HAI_R13,P2_VYT03,22983,False,False
HAI_R13,P3_FIT01,5772,False,False
HAI_R13,P3_LCP01D,2161,False,False
HAI_R13,P3_LCV01D,1531,False,False
HAI_R13,P3_LH,1,True,False
HAI_R13,P3_LIT01,11943,False,False
HAI_R13,P3_LL,1,True,False
HAI_R13,P3_PIT01,4137,False,False
HAI_R13,P4_HT_FD,751,False,False
HAI_R13,P4_HT_LD,9413,False,False
HAI_R13,P4_HT_PO,4243,False,False
HAI_R13,P4_HT_PS,2,False,False
HAI_R13,P4_LD,12327,False,False
HAI_R13,P4_ST_FD,447,False,False
HAI_R13,P4_ST_GOV,14021,False,False
HAI_R13,P4_ST_LD,11847,False,False
HAI_R13,P4_ST_PO,14744,False,False
HAI_R13,P4_ST_PS,2,False,False
HAI_R13,P4_ST_PT01,362,False,False
HAI_R13,P4_ST_TT01,211,False,False
SWaT,FIT101,2773,False,False
SWaT,LIT101,9590,False,False
SWaT,MV101,3,False,False
SWaT,P101,2,False,False
SWaT,P102,1,True,True
SWaT,AIT201,504,False,False
SWaT,AIT202,1656,False,False
SWaT,AIT203,5520,False,False
SWaT,FIT201,2870,False,False
SWaT,MV201,3,False,False
SWaT,P201,1,True,True
SWaT,P202,1,True,True
SWaT,P203,2,False,False
SWaT,P204,1,True,True
SWaT,P205,2,False,False
SWaT,P206,1,True,True
SWaT,DPIT301,4854,False,False
SWaT,FIT301,6220,False,False
SWaT,LIT301,9090,False,False
SWaT,MV301,3,False,False
SWaT,MV302,3,False,False
SWaT,MV303,3,False,False
SWaT,MV304,3,False,False
SWaT,P301,2,False,False
SWaT,P302,2,False,False
SWaT,AIT401,37,False,False
SWaT,AIT402,2026,False,False
SWaT,FIT401,661,False,False
SWaT,LIT401,10604,False,False
SWaT,P401,1,True,True
SWaT,P402,2,False,False
SWaT,P403,1,True,True
SWaT,P404,1,True,True
SWaT,UV401,2,False,False
SWaT,AIT501,756,False,False
SWaT,AIT502,1986,False,False
SWaT,AIT503,753,False,False
SWaT,AIT504,264,False,False
SWaT,FIT501,643,False,False
SWaT,FIT502,1094,False,False
SWaT,FIT503,264,False,False
SWaT,FIT504,202,False,False
SWaT,P501,2,False,False
SWaT,P502,1,True,True
SWaT,PIT501,880,False,False
SWaT,PIT502,89,False,False
SWaT,PIT503,782,False,False
SWaT,FIT601,3533,False,False
SWaT,P601,1,True,True
SWaT,P602,2,False,False
SWaT,P603,1,True,True
WADI,Date,0,True,False
WADI,Time,0,True,False
WADI,1_AIT_001_PV,40517,False,False
WADI,1_AIT_002_PV,381,False,False
WADI,1_AIT_003_PV,7192,False,False
WADI,1_AIT_004_PV,20017,False,False
WADI,1_AIT_005_PV,25608,False,False
WADI,1_FIT_001_PV,17833,False,False
WADI,1_LS_001_AL,1,True,True
WADI,1_LS_002_AL,1,True,True
WADI,1_LT_001_PV,143327,False,False
WADI,1_MV_001_STATUS,3,False,False
WADI,1_MV_002_STATUS,1,True,True
WADI,1_MV_003_STATUS,1,True,True
WADI,1_MV_004_STATUS,3,False,False
WADI,1_P_001_STATUS,2,False,False
WADI,1_P_002_STATUS,1,True,True
WADI,1_P_003_STATUS,2,False,False
WADI,1_P_004_STATUS,1,True,True
WADI,1_P_005_STATUS,2,False,False
WADI,1_P_006_STATUS,1,True,True
WADI,2_DPIT_001_PV,33237,False,False
WADI,2_FIC_101_CO,96766,False,False
WADI,2_FIC_101_PV,83999,False,False
WADI,2_FIC_101_SP,42,False,False
WADI,2_FIC_201_CO,90327,False,False
WADI,2_FIC_201_PV,79186,False,False
WADI,2_FIC_201_SP,41,False,False
WADI,2_FIC_301_CO,79807,False,False
WADI,2_FIC_301_PV,72418,False,False
WADI,2_FIC_301_SP,36,False,False
WADI,2_FIC_401_CO,103972,False,False
WADI,2_FIC_401_PV,88637,False,False
WADI,2_FIC_401_SP,39,False,False
WADI,2_FIC_501_CO,90580,False,False
WADI,2_FIC_501_PV,80870,False,False
WADI,2_FIC_501_SP,42,False,False
WADI,2_FIC_601_CO,83048,False,False
WADI,2_FIC_601_PV,73808,False,False
WADI,2_FIC_601_SP,42,False,False
WADI,2_FIT_001_PV,11427,False,False
WADI,2_FIT_002_PV,57429,False,False
WADI,2_FIT_003_PV,23840,False,False
WADI,2_FQ_101_PV,83878,False,False
WADI,2_FQ_201_PV,79096,False,False
WADI,2_FQ_301_PV,72438,False,False
WADI,2_FQ_401_PV,88878,False,False
WADI,2_FQ_501_PV,80904,False,False
WADI,2_FQ_601_PV,73749,False,False
WADI,2_LS_001_AL,0,True,False
WADI,2_LS_002_AL,0,True,False
WADI,2_LS_101_AH,2,False,True
WADI,2_LS_101_AL,2,False,True
WADI,2_LS_201_AH,2,False,True
WADI,2_LS_201_AL,2,False,True
WADI,2_LS_301_AH,2,False,True
WADI,2_LS_301_AL,2,False,True
WADI,2_LS_401_AH,2,False,True
WADI,2_LS_401_AL,2,False,True
WADI,2_LS_501_AH,2,False,True
WADI,2_LS_501_AL,2,False,True
WADI,2_LS_601_AH,2,False,True
WADI,2_LS_601_AL,2,False,True
WADI,2_LT_001_PV,26311,False,False
WADI,2_LT_002_PV,103361,False,False
WADI,2_MCV_007_CO,1,True,True
WADI,2_MCV_101_CO,79917,False,False
WADI,2_MCV_201_CO,87190,False,False
WADI,2_MCV_301_CO,99866,False,False
WADI,2_MCV_401_CO,76097,False,False
WADI,2_MCV_501_CO,86190,False,False
WADI,2_MCV_601_CO,92720,False,False
WADI,2_MV_001_STATUS,1,True,True
WADI,2_MV_002_STATUS,1,True,True
WADI,2_MV_003_STATUS,3,False,False
WADI,2_MV_004_STATUS,1,True,False
WADI,2_MV_005_STATUS,1,True,False
WADI,2_MV_006_STATUS,3,False,False
WADI,2_MV_009_STATUS,1,True,False
WADI,2_MV_101_STATUS,3,False,False
WADI,2_MV_201_STATUS,3,False,False
WADI,2_MV_301_STATUS,3,False,False
WADI,2_MV_401_STATUS,3,False,False
WADI,2_MV_501_STATUS,3,False,False
WADI,2_MV_601_STATUS,3,False,False
WADI,2_P_001_STATUS,0,True,False
WADI,2_P_002_STATUS,0,True,False
WADI,2_P_003_SPEED,27396,False,False
WADI,2_P_003_STATUS,2,False,False
WADI,2_P_004_SPEED,6268,False,False
WADI,2_P_004_STATUS,1,True,True
WADI,2_PIC_003_CO,33023,False,False
WADI,2_PIC_003_PV,51390,False,False
WADI,2_PIC_003_SP,1,True,True
WADI,2_PIT_001_PV,11085,False,False
WADI,2_PIT_002_PV,102961,False,False
WADI,2_PIT_003_PV,51469,False,False
WADI,2_SV_101_STATUS,1,True,True
WADI,2_SV_201_STATUS,1,True,True
WADI,2_SV_301_STATUS,1,True,True
WADI,2_SV_401_STATUS,1,True,True
WADI,2_SV_501_STATUS,1,True,True
WADI,2_SV_601_STATUS,1,True,True
WADI,2A_AIT_001_PV,59,False,False
WADI,2A_AIT_002_PV,52486,False,False
WADI,2A_AIT_003_PV,269,False,False
WADI,2A_AIT_004_PV,29582,False,False
WADI,2B_AIT_001_PV,73,False,False
WADI,2B_AIT_002_PV,41195,False,False
WADI,2B_AIT_003_PV,1478,False,False
WADI,2B_AIT_004_PV,22874,False,False
WADI,3_AIT_001_PV,1058,False,False
WADI,3_AIT_002_PV,21637,False,False
WADI,3_AIT_003_PV,155697,False,False
WADI,3_AIT_004_PV,77516,False,False
WADI,3_AIT_005_PV,46605,False,False
WADI,3_FIT_001_PV,71651,False,False
WADI,3_LS_001_AL,1,True,True
WADI,3_LT_001_PV,38001,False,False
WADI,3_MV_001_STATUS,1,True,True
WADI,3_MV_002_STATUS,1,True,True
WADI,3_MV_003_STATUS,1,True,True
WADI,3_P_001_STATUS,1,True,True
WADI,3_P_002_STATUS,1,True,True
WADI,3_P_003_STATUS,1,True,True
WADI,3_P_004_STATUS,1,True,True
WADI,LEAK_DIFF_PRESSURE,80349,False,False
WADI,PLANT_START_STOP_LOG,1,True,True
WADI,TOTAL_CONS_REQUIRED_FLOW,189,False,False
